Year,Month,Day,Day_of_the_Week,Holiday_Type,Holiday,Holiday_Encoding,Is_Holiday,1_0_Encoding,Holiday_Pattern,Holiday_Pattern_2,Arrival_Num,Departure_Num,DOM_Portion,INT_Portion,LCC_ratio,FSC_ratio,Late,Vehicle_Max,Up_Down,Tobit_Upper_Limit,Vehicle_Tobit,Vehicle_Tobit_Adjusted,TempAvg_C,Precip_mm,Temp_Precip_Interaction,airport,entry_count,exit_count,Unnamed: 28,entry_sum_14,exit_sum_14,Departure_Num(예측)
2014,1,22,3,,,0,0,0,,,13479,12202,0.516814554958791,0.483185445041209,0.4375323021744439,0.5624676978255562,0.0,3794,-113,4511.0,4823.083742700138,3794.0,0.6,0.0,0.0,gimhae,,,,,,
2014,1,23,4,,,0,0,0,,,14479,14069,0.4728526327574771,0.5271473672425229,0.3971712159428422,0.6028287840571578,0.01931075460487225,3907,113,4511.0,4389.820750785959,3907.0,3.8,0.0,0.0,gimhae,,,,,,
2014,1,24,5,,,0,0,0,,,14814,13392,0.504459617205474,0.495540382794526,0.415334034629245,0.584665965370755,0.02573101638845584,3948,41,4511.0,4749.293162165347,3948.0,9.1,0.0,0.0,gimhae,,,,,,
2014,1,25,6,,,0,0,0,,,13733,11841,0.4811997599923296,0.5188002400076703,0.4516820941356545,0.5483179058643455,0.01040723981900453,4140,192,4511.0,4577.82149899209,4140.0,12.0,1.5,18.0,gimhae,,,,,,
2014,1,26,7,,,0,0,0,,,14481,11047,0.4840034965034964,0.5159965034965035,0.4108364674541145,0.5891635325458855,0.0,3920,-220,4511.0,4907.202864485441,3920.0,5.8,0.0,0.0,gimhae,,,,,,
2014,1,27,1,,,0,0,0,,,16232,9171,0.5035343160047221,0.4964656839952779,0.3920912597792948,0.6079087402207053,0.01504366452463338,3326,-594,4511.0,4234.682643955989,3326.0,6.4,0.0,0.0,gimhae,,,,,,
2014,1,28,2,,,0,0,0,,,14348,10559,0.5024584801264823,0.4975415198735176,0.4057143075969337,0.5942856924030663,0.01911764705882353,3040,-286,4511.0,4264.743399728972,3040.0,9.2,0.0,0.0,gimhae,,,,,,
2014,1,29,3,,,0,0,0,,,15451,14861,0.5157891320521079,0.4842108679478921,0.4220550163024211,0.5779449836975789,0.01939775910364146,3716,676,4511.0,4584.030800928245,3716.0,9.5,0.0,0.0,gimhae,,,,,,
2014,1,30,4,설날,B1,-1,0,1,Pattern_8,,15560,15788,0.4957450593377565,0.5042549406622436,0.4141232765595358,0.5858767234404642,0.05236431676743095,4628,912,4511.0,4698.17210450105,4698.17210450105,11.1,1.0,11.1,gimhae,,,,,,
2014,1,31,5,설날,H,0,1,1,Pattern_8,,12875,12914,0.5199370584796738,0.4800629415203264,0.4171342361881425,0.5828657638118574,0.0344012712433765,4777,149,4511.0,5111.862019316494,5111.862019316494,9.0,0.0,0.0,gimhae,,,,,,
2014,2,1,6,설날,A1,1,0,1,Pattern_8,,13999,13147,0.4762857960954847,0.5237142039045154,0.4507757525058563,0.5492242474941437,0.01753436874544141,4722,-55,4511.0,4759.425284627678,4759.425284627678,12.3,5.0,61.5,gimhae,,,,,,
2014,2,2,7,설날,A2,2,0,1,Pattern_8,,17468,14926,0.4992732565396925,0.5007267434603075,0.410093602091872,0.5899063979081279,0.03658489242399277,4082,-640,4511.0,5176.481656643581,4082.0,12.3,0.0,0.0,gimhae,,,,,,
2014,2,3,1,,,0,0,0,,,15632,14052,0.5030401001899819,0.4969598998100181,0.4213949085375055,0.5786050914624945,0.009803921568627453,3229,-853,4511.0,4169.399789886803,3229.0,9.0,0.0,0.0,gimhae,,,,,,
2014,2,4,2,,,0,0,0,,,11694,12086,0.4943523412381544,0.5056476587618457,0.4167298291865766,0.5832701708134235,0.08124009784909439,2980,-249,4511.0,4453.331001753038,2980.0,-2.0,0.0,0.0,gimhae,,,,,,
2014,2,5,3,,,0,0,0,,,11566,12683,0.4826295049979261,0.517370495002074,0.4598563838695418,0.5401436161304582,0.0,3008,28,4511.0,4459.335380023019,3008.0,-0.2,0.0,0.0,gimhae,,,,,,
2014,2,6,4,,,0,0,0,,,12306,14883,0.4677499163658333,0.5322500836341666,0.4122611913269353,0.5877388086730647,0.03288295710441039,3248,240,4511.0,4321.665145093438,3248.0,3.2,0.0,0.0,gimhae,,,,,,
2014,2,7,5,,,0,0,0,,,12383,14304,0.529305279343979,0.470694720656021,0.4163674603690084,0.5836325396309916,0.04549698667345727,3588,340,4511.0,5111.610263003151,3588.0,4.7,5.0,23.5,gimhae,,,,,,
2014,2,8,6,,,0,0,0,,,12128,13250,0.5000967410136961,0.4999032589863039,0.4423354423354424,0.5576645576645577,0.04178338001867413,4012,424,4511.0,4941.856937726447,4012.0,5.0,1.5,7.5,gimhae,,,,,,
2014,2,9,7,,,0,0,0,,,14349,14298,0.4928568932029139,0.5071431067970861,0.4152196707560029,0.584780329243997,0.03229052761924734,3960,-52,4511.0,5032.313793935129,3960.0,4.8,0.0,0.0,gimhae,,,,,,
2014,2,10,1,,,0,0,0,,,15312,13661,0.5118593278673409,0.488140672132659,0.4367672175858298,0.5632327824141702,0.02703081232492997,3525,-435,4511.0,4507.343806125678,3525.0,1.1,2.5,2.75,gimhae,,,,,,
2014,2,11,2,,,0,0,0,,,12550,12445,0.4995822617658349,0.500417738234165,0.4035203641741613,0.5964796358258387,0.003460207612456748,3371,-154,4511.0,4417.195955661171,3371.0,1.5,0.5,0.75,gimhae,,,,,,
2014,2,12,3,,,0,0,0,,,12032,13398,0.5271791069368924,0.4728208930631075,0.4402873894655902,0.5597126105344098,0.008123249299719889,3745,374,4511.0,4827.992344915007,3745.0,3.4,0.0,0.0,gimhae,,,,,,
2014,2,13,4,,,0,0,0,,,12476,15714,0.4660724079841727,0.5339275920158273,0.4162268287268288,0.5837731712731713,0.01073762838468721,4019,274,4511.0,4286.369532512967,4019.0,4.1,0.4,1.64,gimhae,,,,,,
2014,2,14,5,,,0,0,0,,,13868,15870,0.5255325508785716,0.4744674491214284,0.4215325572159482,0.5784674427840518,0.05582399626517273,4427,408,4511.0,5119.894453591903,4427.0,3.6,0.1,0.36000000000000004,gimhae,,,,,,
2014,2,15,6,,,0,0,0,,,13362,14432,0.4859690866611282,0.5140309133388719,0.4392148796993087,0.5607851203006912,0.0,4745,318,4511.0,4806.730663986202,4806.730663986202,5.0,0.0,0.0,gimhae,,,,,,
2014,2,16,7,,,0,0,0,,,16385,16350,0.4854263095612576,0.5145736904387422,0.4067285463479235,0.5932714536520765,0.01138763197586727,4844,99,4511.0,4925.917953166248,4925.917953166248,6.9,0.0,0.0,gimhae,,,,,,
2014,2,17,1,,,0,0,0,,,15993,14862,0.5097306480524474,0.4902693519475527,0.4348496899102435,0.5651503100897565,0.006477591036414565,4507,-337,4511.0,4335.076599068376,4507.0,7.0,5.5,38.5,gimhae,,,,,,
2014,2,18,2,,,0,0,0,,,14449,13316,0.501271733840938,0.498728266159062,0.4216743560169166,0.5783256439830834,0.04453612515896253,4519,12,4511.0,4449.054078858529,4519.0,3.0,1.0,3.0,gimhae,,,,,,
2014,2,19,3,,,0,0,0,,,14082,15042,0.5226087637852344,0.4773912362147655,0.4303182208026499,0.5696817791973502,0.009549274255156608,4578,59,4511.0,4819.820908991775,4819.820908991775,3.1,0.0,0.0,gimhae,,,,,,
2014,2,20,4,,,0,0,0,,,15604,17074,0.4589015079499509,0.5410984920500492,0.4042393064451888,0.5957606935548112,0.0,4775,197,4511.0,4200.253873009331,4775.0,6.2,0.0,0.0,gimhae,,,,,,
2014,2,21,5,,,0,0,0,,,16298,16920,0.5405597622293123,0.4594402377706876,0.4355407952293766,0.5644592047706235,0.00392156862745098,4920,145,4511.0,5303.048447459601,5303.048447459601,5.0,0.0,0.0,gimhae,,,,,,
2014,2,22,6,,,0,0,0,,,15719,15093,0.481686551625998,0.518313448374002,0.4432497865456343,0.5567502134543657,0.02670613700025464,5119,199,4511.0,4763.387407171724,5119.0,6.7,0.0,0.0,gimhae,,,,,,
2014,2,23,7,,,0,0,0,,,17101,16893,0.501239451123352,0.4987605488766479,0.4117507234767296,0.5882492765232703,0.01106083459024636,5099,-20,4511.0,5095.153065954133,5099.0,7.6,0.0,0.0,gimhae,,,,,,
2014,2,24,1,,,0,0,0,,,17496,14692,0.5153222551442366,0.4846777448557635,0.4368797396274177,0.5631202603725823,0.04211229946524064,4885,-214,4511.0,4353.208959079919,4885.0,9.0,0.0,0.0,gimhae,,,,,,
