Year,Month,Day,Day_of_the_Week,Holiday_Type,Holiday,Holiday_Encoding,Is_Holiday,1_0_Encoding,Holiday_Pattern,Holiday_Pattern_2,Arrival_Num,Departure_Num,DOM_Portion,INT_Portion,LCC_ratio,FSC_ratio,Late,Vehicle_Max,Up_Down,Tobit_Upper_Limit,Vehicle_Tobit,Vehicle_Tobit_Adjusted,TempAvg_C,Precip_mm,Temp_Precip_Interaction,entry_count,exit_count,airport,Unnamed: 28,Departure_Num(예측)
2023,1,23,1,설날,A1,1,0,1,Pattern_10,,5077,4568,0.9611111111111111,0.03888888888888889,0.7416666666666667,0.2583333333333334,0.3018518518518519,4487,-119,4857,3376.104074177455,4487.0,0.8,0.0,0.0,1425,2023,cheongju,,
2023,1,24,2,설날,A2,2,0,1,Pattern_10,,346,154,0.0,1.0,0.25,0.75,0.25,3608,-879,4857,4085.290009452884,3608.0,-11.4,0.0,0.0,207,304,cheongju,,
2023,1,25,3,,,0,0,0,,,4968,5185,0.9166666666666666,0.08333333333333333,0.7555555555555555,0.2444444444444445,0.5574074074074074,3961,353,4857,3262.785858037651,3961.0,-11.3,0.0,0.0,1692,2328,cheongju,,
2023,1,26,4,,,0,0,0,,,4783,4667,0.9558823529411765,0.04411764705882353,0.7754901960784314,0.2245098039215686,0.7509803921568627,3174,-787,4857,3277.027126599272,3174.0,-6.3,1.4,-8.819999999999999,1686,2023,cheongju,,
2023,1,27,5,,,0,0,0,,,3674,4050,0.9803921568627452,0.0196078431372549,0.7421568627450981,0.257843137254902,0.8450980392156863,3118,-56,4857,2965.568508538648,3118.0,-6.1,0.0,0.0,1966,1602,cheongju,,
2023,1,28,6,,,0,0,0,,,4191,4534,0.9368421052631579,0.06315789473684211,0.6824561403508772,0.3175438596491228,0.4570175438596492,3407,289,4857,3417.289658955267,3407.0,-5.4,0.0,0.0,1775,1691,cheongju,,
2023,1,29,7,,,0,0,0,,,4387,4438,0.9411764705882353,0.05882352941176471,0.7225490196078431,0.2774509803921569,0.2745098039215687,3344,-63,4857,3643.658408125348,3344.0,-0.9,0.0,0.0,1469,1846,cheongju,,
2023,1,30,1,,,0,0,0,,,4582,4580,0.9803921568627452,0.0196078431372549,0.7431372549019608,0.2568627450980392,0.09999999999999999,2975,-369,4857,2796.456139031674,2975.0,0.2,0.0,0.0,1526,1711,cheongju,,
2023,1,31,2,,,0,0,0,,,4423,4398,1.0,0.0,0.7291666666666666,0.2708333333333333,0.1729166666666667,2937,-38,4857,2854.011380977242,2937.0,2.5,0.0,0.0,1607,1623,cheongju,,
2023,2,1,3,,,0,0,0,,,3956,4965,0.8725490196078431,0.1274509803921569,0.6872549019607843,0.3127450980392157,0.1666666666666667,2992,55,4857,3134.454552466197,2992.0,2.6,0.0,0.0,1787,1545,cheongju,,
2023,2,2,4,,,0,0,0,,,4174,4699,0.9411764705882353,0.05882352941176471,0.7156862745098039,0.2843137254901961,0.09999999999999999,3347,355,4857,3152.320183469741,3347.0,-1.0,0.0,0.0,1955,1562,cheongju,,
2023,2,3,5,,,0,0,0,,,4592,4657,0.9705882352941176,0.02941176470588235,0.746078431372549,0.253921568627451,0.1235294117647059,3657,310,4857,3369.466035745322,3657.0,-0.5,0.0,0.0,1956,1660,cheongju,,
2023,2,4,6,,,0,0,0,,,4385,4452,0.9705882352941176,0.02941176470588235,0.7441176470588236,0.2558823529411764,0.2509803921568627,3922,265,4857,3437.91503994171,3922.0,0.1,0.0,0.0,1764,1653,cheongju,,
2023,2,5,7,,,0,0,0,,,5006,4789,0.8650793650793651,0.1349206349206349,0.7048941798941799,0.2951058201058201,0.3088624338624338,3755,-167,4857,4071.799025536073,3755.0,1.3,0.0,0.0,1641,1992,cheongju,,
2023,2,6,1,,,0,0,0,,,4691,4631,0.9705882352941176,0.02941176470588235,0.7264705882352941,0.2735294117647059,0.2058823529411765,3363,-392,4857,2885.050860385707,3363.0,2.7,0.0,0.0,1527,1815,cheongju,,
2023,2,7,2,,,0,0,0,,,4841,4514,1.0,0.0,0.7685185185185185,0.2314814814814815,0.1574074074074074,3170,-193,4857,3005.503476578923,3170.0,3.7,0.0,0.0,1664,1936,cheongju,,
2023,2,8,3,,,0,0,0,,,4337,4634,0.9705882352941176,0.02941176470588235,0.723529411764706,0.2764705882352941,0.1872549019607843,3124,-46,4857,3033.387488620685,3124.0,2.7,0.0,0.0,1718,1574,cheongju,,
2023,2,9,4,,,0,0,0,,,4744,4856,0.8777777777777778,0.1222222222222222,0.6777777777777777,0.3222222222222222,0.1435185185185185,3194,70,4857,3559.614209420745,3194.0,3.8,0.8,3.04,1827,1661,cheongju,,
2023,2,10,5,,,0,0,0,,,4421,4705,0.9411764705882353,0.05882352941176471,0.703921568627451,0.296078431372549,0.303921568627451,3579,385,4857,3423.595982391733,3579.0,3.9,1.8,7.02,1948,1501,cheongju,,
2023,2,11,6,,,0,0,0,,,4505,4719,0.9,0.1,0.7036507936507935,0.2963492063492064,0.5266666666666667,3887,308,4857,3670.00323122236,3887.0,1.4,0.0,0.0,1768,1707,cheongju,,
2023,2,12,7,,,0,0,0,,,4687,4721,0.9500000000000001,0.05,0.6791666666666666,0.3208333333333334,0.7827380952380952,3908,21,4857,3766.349808789043,3908.0,1.7,0.0,0.0,1691,1956,cheongju,,
2023,2,13,1,,,0,0,0,,,5023,5027,0.9145833333333333,0.08541666666666667,0.684375,0.315625,0.06145833333333334,3285,-623,4857,3181.700487492668,3285.0,6.5,0.0,0.0,1423,1881,cheongju,,
