Year,Month,Day,Day_of_the_Week,Holiday_Type,Holiday,Holiday_Encoding,Is_Holiday,1_0_Encoding,Holiday_Pattern,Holiday_Pattern_2,Arrival_Num,Departure_Num,여행지 비율(내륙),여행지 비율(제주도),LCC_ratio,FSC_ratio,Late,Vehicle_Max,Up_Down,Tobit_Upper_Limit,Vehicle_Tobit,Vehicle_Tobit_Adjusted,TempAvg_C,Precip_mm,Temp_Precip_Interaction,airport,Sub_Dom_GetOn,Sub_Dom_GetOff,Bus_Dom_GetOn,Bus_Dom_GetOff,entry_count,exit_count,Departure_Num(예측)
2014,1,22,3,,,0,0,0,,,20269,19210,0.3815139154410729,0.6184860845589271,0.4638331054510099,0.5361668945489901,0.009010270774976658,2978,171,4106,2989.85593457113,2978.0,-3.9,0.0,0.0,gimpo_d,,,,,,,
2014,1,23,4,,,0,0,0,,,21498,22100,0.3653913683645142,0.6346086316354859,0.467749329386158,0.532250670613842,0.04295453409903537,3080,102,4106,3189.185426472844,3080.0,-0.8,0.0,0.0,gimpo_d,,,,,,,
2014,1,24,5,,,0,0,0,,,20609,19570,0.3802409650576216,0.6197590349423785,0.4642332170792774,0.5357667829207226,0.01027077497665733,2994,-86,4106,3364.877066462223,2994.0,3.0,0.0,0.0,gimpo_d,,,,,,,
2014,1,25,6,,,0,0,0,,,18710,19236,0.3708849693623196,0.6291150306376804,0.4802620692643101,0.5197379307356899,0.01288434214265416,3171,177,4106,3360.91055618162,3171.0,4.2,3.0,12.600000000000001,gimpo_d,,,,,,,
2014,1,26,7,,,0,0,0,,,18572,16135,0.3193964595876815,0.6806035404123184,0.491023561971932,0.508976438028068,0.0,2949,-222,4106,3241.058742310744,2949.0,-2.1,0.0,0.0,gimpo_d,,,,,,,
2014,1,27,1,,,0,0,0,,,18934,18810,0.3908598752846653,0.6091401247153347,0.4682323606606821,0.5317676393393179,0.02051018035672766,2556,-393,4106,2874.591375113718,2556.0,0.2,0.0,0.0,gimpo_d,,,,,,,
2014,1,28,2,,,0,0,0,,,19457,24068,0.3872624954417888,0.6127375045582112,0.4863784336831141,0.5136215663168859,0.007703081232492996,2430,-126,4106,2948.764544572672,2430.0,1.5,0.5,0.75,gimpo_d,,,,,,,
2014,1,29,3,,,0,0,0,,,18031,28057,0.3851217702021983,0.6148782297978018,0.4652452136114136,0.5347547863885864,0.03299143143839604,2719,289,4106,3085.403323254206,2719.0,2.2,0.0,0.0,gimpo_d,,,,,,,
2014,1,30,4,설날,B1,-1,0,1,Pattern_8,,14978,31640,0.3768942089005354,0.6231057910994645,0.440776317603616,0.559223682396384,0.1466624229681169,4023,1304,4106,3364.508954429454,4023.0,4.0,3.5,14.0,gimpo_d,,,,,,,
2014,1,31,5,설날,H,0,1,1,Pattern_8,,21756,21830,0.3865227228146788,0.6134772771853212,0.4776893435086684,0.5223106564913316,0.06067862720658204,4411,388,4106,3466.30913013957,4411.0,1.3,0.0,0.0,gimpo_d,,,,,,,
2014,2,1,6,설날,A1,1,0,1,Pattern_8,,28999,16540,0.3450031632258675,0.6549968367741323,0.4629844059218609,0.537015594078139,0.02568308277650838,3856,-555,4106,3904.485194460317,3856.0,4.9,11.0,53.900000000000006,gimpo_d,,,,,,,
2014,2,2,7,설날,A2,2,0,1,Pattern_8,,29124,19394,0.3309762108242625,0.6690237891757375,0.4570263454346499,0.5429736545653501,0.05927287070283911,2694,-1162,4106,4047.456246056631,2694.0,4.9,0.5,2.45,gimpo_d,,,,,,,
2014,2,3,1,,,0,0,0,,,25075,19629,0.3642051411343256,0.6357948588656743,0.465127861107666,0.534872138892334,0.005115089514066497,2000,-694,4106,2977.179220649696,2000.0,-3.5,0.0,0.0,gimpo_d,,,,,,,
2014,2,4,2,,,0,0,0,,,21663,19389,0.3847808300092472,0.6152191699907528,0.4708740906430406,0.5291259093569594,0.04091571891465789,2073,73,4106,2824.316805167972,2073.0,-7.4,0.0,0.0,gimpo_d,,,,,,,
2014,2,5,3,,,0,0,0,,,20035,20041,0.3812720470425173,0.6187279529574826,0.4509987717354713,0.5490012282645287,0.01320729485315013,2394,321,4106,3002.503586371266,2394.0,-4.8,0.0,0.0,gimpo_d,,,,,,,
2014,2,6,4,,,0,0,0,,,19971,20554,0.3529857349494028,0.6470142650505972,0.4728626621360186,0.5271373378639814,0.007469654528478057,2550,156,4106,3110.321784225259,2550.0,-1.3,0.0,0.0,gimpo_d,,,,,,,
2014,2,7,5,,,0,0,0,,,20866,20776,0.3744530767876282,0.6255469232123718,0.4424160371563434,0.5575839628436566,0.06284517493175139,2910,360,4106,3433.556160355141,2910.0,2.4,0.0,0.0,gimpo_d,,,,,,,
2014,2,8,6,,,0,0,0,,,19201,20172,0.3772886325894014,0.6227113674105985,0.4747466448042688,0.5252533551957312,0.03602941176470589,3376,466,4106,3282.755666276911,3376.0,0.2,4.3,0.86,gimpo_d,,,,,,,
2014,2,9,7,,,0,0,0,,,21270,19828,0.3140568965828481,0.6859431034171518,0.4818290897875673,0.5181709102124327,0.04737248046071576,3119,-257,4106,3372.454127548592,3119.0,-1.6,0.2,-0.32000000000000006,gimpo_d,,,,,,,
2014,2,10,1,,,0,0,0,,,20547,20707,0.309881084500818,0.690118915499182,0.4993549651915515,0.5006450348084485,0.04387407136767751,2734,-385,4106,2814.429152777814,2734.0,-0.1,0.2,-0.020000000000000004,gimpo_d,,,,,,,
