Year,Month,Day,Day_of_the_Week,Holiday_Type,Holiday,Holiday_Encoding,Is_Holiday,1_0_Encoding,Holiday_Pattern,Holiday_Pattern_2,도민_Arr,도민_출차,도민_Dep,도민_입차,Arrival_Num,Departure_Num,DOM_Portion,INT_Portion,LCC_ratio,FSC_ratio,Late,Vehicle_Max,Up_Down,Tobit_Upper_Limit,Vehicle_Tobit,Vehicle_Tobit_Adjusted,TempAvg_C,Precip_mm,Temp_Precip_Interaction,airport,entry_count,exit_count,Departure_Num(예측)
2014,1,1,3,신정,H,0,1,1,Pattern_2,,2381.2000000000003,404.8040000000001,2367.6,402.492,23812,23676,0.8186605157120547,0.1813394842879454,0.5186126018096515,0.4813873981903485,0.006134004403900599,693,-40,1149,819.8554156686362,693.0,10.7,0.0,0.0,jeju,,,
2014,1,2,4,,,0,0,0,,,4173.45,709.4865,4069.5,691.815,27823,27130,0.8354706791822072,0.1645293208177929,0.5099679918493313,0.4900320081506687,0.0326348677122671,747,54,1149,802.3767654127822,747.0,9.6,0.0,0.0,jeju,,,
2014,1,3,5,,,0,0,0,,,2318.8,394.1960000000001,2416.9,410.87300000000005,23188,24169,0.8177205697277647,0.1822794302722353,0.4938223280420163,0.5061776719579837,0.02231369509492732,662,-85,1149,754.6706876637321,662.0,10.7,0.0,0.0,jeju,,,
2014,1,4,6,,,0,0,0,,,2169.9,368.88300000000004,2705.0,459.85,21699,27050,0.8339404912547888,0.1660595087452112,0.4838719300509245,0.5161280699490755,0.002415458937198068,660,-2,1149,747.3483681216568,660.0,7.6,0.0,0.0,jeju,,,
2014,1,5,7,,,0,0,0,,,2450.6,416.60200000000003,2945.7000000000003,500.76900000000006,24506,29457,0.8147682669148406,0.1852317330851593,0.4816970867597736,0.5183029132402264,0.004979769685652038,697,37,1149,796.1094353975484,697.0,6.5,0.0,0.0,jeju,,,
2014,1,6,1,,,0,0,0,,,4015.2,682.5840000000001,3531.6,600.3720000000001,26768,23544,0.8821991716013455,0.1178008283986545,0.4800993239851936,0.5199006760148064,0.0386061251550382,664,-33,1149,713.1610351131219,664.0,6.3,0.0,0.0,jeju,,,
2014,1,7,2,,,0,0,0,,,3263.85,554.8545,3065.7,521.169,21759,20438,0.7877486565244562,0.2122513434755437,0.5478350849427599,0.4521649150572402,0.02277305215901708,713,49,1149,713.0282441441839,713.0,8.8,0.1,0.8800000000000001,jeju,,,
2014,1,8,3,,,0,0,0,,,3039.0,516.63,3422.25,581.7825,20260,22815,0.7744604965038402,0.2255395034961599,0.4763356034898862,0.5236643965101138,0.01824767824767825,646,-67,1149,748.0275256238994,646.0,7.0,41.3,289.09999999999997,jeju,,,
2014,1,9,4,,,0,0,0,,,3715.0499999999997,631.5585,3641.25,619.0125,24767,24275,0.8298017756277121,0.1701982243722878,0.4673146549052973,0.5326853450947028,0.0238880769699184,696,50,1149,729.7506259112299,696.0,1.9,0.1,0.19,jeju,,,
2014,1,10,5,,,0,0,0,,,2585.4,439.51800000000003,2243.2000000000003,381.34400000000005,25854,22432,0.8796638955652981,0.1203361044347019,0.4392359184848776,0.5607640815151224,0.04788487065171503,645,-51,1149,748.1644445781407,645.0,3.6,0.1,0.36000000000000004,jeju,,,
2014,1,11,6,,,0,0,0,,,2436.0,414.12,2262.2000000000003,384.57400000000007,24360,22622,0.8321871843366503,0.1678128156633497,0.5118889387111893,0.4881110612888107,0.02625736995565489,718,73,1149,795.8090102808453,718.0,5.4,0.0,0.0,jeju,,,
2014,1,12,7,,,0,0,0,,,2516.4,427.78800000000007,2844.9,483.63300000000004,25164,28449,0.8141444157812444,0.1858555842187556,0.4380930313411132,0.5619069686588868,0.004736193994506015,701,-17,1149,774.3417678249308,701.0,6.0,0.0,0.0,jeju,,,
2014,1,13,1,,,0,0,0,,,3933.75,668.7375000000001,3892.35,661.6995000000001,26225,25949,0.8350083988938478,0.1649916011061522,0.4856513833603617,0.5143486166396383,0.01818807267723676,707,6,1149,703.8453361818922,707.0,3.0,0.0,0.0,jeju,,,
2014,1,14,2,,,0,0,0,,,3289.7999999999997,559.266,3325.5,565.335,21932,22170,0.8968954492682241,0.103104550731776,0.4665635753159099,0.5334364246840901,0.03656946848945688,670,-37,1149,663.3567569847189,670.0,3.4,0.0,0.0,jeju,,,
2014,1,15,3,,,0,0,0,,,3378.6,574.3620000000001,3644.4,619.5480000000001,22524,24296,0.8164572787952548,0.1835427212047452,0.4920868071251505,0.5079131928748496,0.01508485747240073,619,-51,1149,701.5218352780736,619.0,4.3,0.0,0.0,jeju,,,
2014,1,16,4,,,0,0,0,,,4018.95,683.2215,3733.7999999999997,634.746,26793,24892,0.7782272190301535,0.2217727809698465,0.4495735635749994,0.5504264364250006,0.009612939818889476,694,75,1149,741.2791889775083,694.0,5.1,0.0,0.0,jeju,,,
2014,1,17,5,,,0,0,0,,,2656.1000000000004,451.5370000000001,2374.7000000000003,403.69900000000007,26561,23747,0.868300449768569,0.131699550231431,0.5291013514108214,0.4708986485891786,0.4762950695227624,846,152,1149,818.5111297850226,846.0,6.6,0.0,0.0,jeju,,,
2014,1,18,6,,,0,0,0,,,2555.8,434.48600000000005,2505.1000000000004,425.8670000000001,25558,25051,0.8783490489063664,0.1216509510936335,0.4871846823206781,0.5128153176793219,0.03368632445350375,783,-63,1149,797.846445413949,783.0,6.3,0.0,0.0,jeju,,,
